Entity_ID,Customer,Destination,Category,Week +1_Vol,Week +1_Wt,Week +2_Vol,Week +2_Wt,Week +3_Vol,Week +3_Wt,Week +4_Vol,Week +4_Wt
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_286","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,HAIR TRIMMER,233.0,65.11,163.0,45.55,108.0,30.18,12.0,3.35
Shenzhen Takesend Logistics Co. Ltd._NZ_36,Shenzhen Takesend Logistics Co. Ltd.,NZ,PAPER CARDS; PAPER CARDS; PAPER CARDS; WHITE TOOTHPASTE类,186.0,81.69,37.0,16.25,7.0,3.07,3.0,1.32
Shipany Limited_TH_427,Shipany Limited,TH,SWISSE类,174.0,53.66,119.0,36.7,51.0,15.73,14.0,4.32
Shipany Limited_TH_484,Shipany Limited,TH,MAT类,152.0,49.59,74.0,24.14,69.0,22.51,12.0,3.91
Shenzhen Takesend Logistics Co. Ltd._SG_57,Shenzhen Takesend Logistics Co. Ltd.,SG,POLYESTER BACKPACK,139.0,197.25,30.0,42.57,28.0,39.73,10.0,14.19
Sa Sa Dot Com Limited_PH_394,Sa Sa Dot Com Limited,PH,SKIN CARE类,126.0,33.57,150.0,39.96,96.0,25.58,73.0,19.45
Shipany Limited_TH_17999,Shipany Limited,TH,L1大类17_长尾杂项,119.0,37.51,38.0,11.98,28.0,8.83,3.0,0.95
GPGS_GB_368,GPGS,GB,AUDIO ACCESSORIES类,116.0,11.66,21.0,2.11,12.0,1.21,6.0,0.6
Sa Sa Dot Com Limited_MY_394,Sa Sa Dot Com Limited,MY,SKIN CARE类,113.0,25.79,159.0,36.28,136.0,31.04,70.0,15.97
Shenzhen Takesend Logistics Co. Ltd._NZ_165,Shenzhen Takesend Logistics Co. Ltd.,NZ,PAPER CARD类,110.0,23.12,184.0,38.68,15.0,3.15,6.0,1.26
Shenzhen Takesend Logistics Co. Ltd._NZ_35,Shenzhen Takesend Logistics Co. Ltd.,NZ,FRESH GUM; FRESHENING SHEET类,110.0,21.98,63.0,12.59,10.0,2.0,29.0,5.79
GPGS_AU_8999,GPGS,AU,L1大类8_长尾杂项,102.0,10.2,158.0,15.8,189.0,18.9,118.0,11.8
Shenzhen Takesend Logistics Co. Ltd._NZ_58,Shenzhen Takesend Logistics Co. Ltd.,NZ,FRESH GUM类,95.0,15.88,23.0,3.84,5.0,0.84,5.0,0.84
Shenzhen Takesend Logistics Co. Ltd._NZ_17999,Shenzhen Takesend Logistics Co. Ltd.,NZ,L1大类17_长尾杂项,94.0,18.44,45.0,8.83,164.0,32.18,8.0,1.57
Dimple Optics Pty Ltd_SG_290,Dimple Optics Pty Ltd,SG,EYEWEAR类,87.0,23.73,104.0,28.36,128.0,34.91,85.0,23.18
Sa Sa Dot Com Limited_SG_394,Sa Sa Dot Com Limited,SG,SKIN CARE类,86.0,28.52,96.0,31.83,74.0,24.54,111.0,36.81
Motion Global Limited_NZ_290,Motion Global Limited,NZ,EYEWEAR类,82.0,26.84,125.0,40.91,169.0,55.31,113.0,36.99
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,L1大类0_长尾杂项,78.0,48.84,6.0,3.76,3.0,1.88,1.0,0.63
Shipany Limited_TH_262,Shipany Limited,TH,BOBBI BROWN VITAMIN ENRICHED FACE BASE 50ML类,75.0,19.44,36.0,9.33,32.0,8.3,4.0,1.04
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,L1大类0_长尾杂项,70.0,24.09,16.0,5.51,30.0,10.33,5.0,1.72
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_13","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,RUBBER MAGNETS类,66.0,7.77,32.0,3.77,19.0,2.24,4.0,0.47
Shenzhen Takesend Logistics Co. Ltd._NZ_10999,Shenzhen Takesend Logistics Co. Ltd.,NZ,L1大类10_长尾杂项,60.0,11.2,35.0,6.53,4.0,0.75,4.0,0.75
Shenzhen Takesend Logistics Co. Ltd._NZ_0,Shenzhen Takesend Logistics Co. Ltd.,NZ,BH FRESHENING SHEET类,60.0,10.17,27.0,4.58,3.0,0.51,1.0,0.17
GPGS_PL_368,GPGS,PL,AUDIO ACCESSORIES类,58.0,5.8,14.0,1.4,26.0,2.6,5.0,0.5
GPGS_DE_368,GPGS,DE,AUDIO ACCESSORIES类,52.0,5.44,32.0,3.34,26.0,2.72,6.0,0.63
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CL_286","Yanwen Logistics Co., Ltd. Shenzhen Branch",CL,HAIR TRIMMER,50.0,8.26,11.0,1.82,16.0,2.64,8.0,1.32
GPGS_NO_368,GPGS,NO,AUDIO ACCESSORIES类,50.0,5.0,5.0,0.5,10.0,1.0,1.0,0.1
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,MAT类,50.0,10.54,9.0,1.9,4.0,0.84,2.0,0.42
Shenzhen Takesend Logistics Co. Ltd._NZ_37,Shenzhen Takesend Logistics Co. Ltd.,NZ,WHITE TOOTHPASTE类,48.0,11.96,10.0,2.49,2.0,0.5,1.0,0.25
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_483","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,DEPILATOR类,41.0,17.92,3.0,1.31,5.0,2.19,1.0,0.44
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GF_13","Yanwen Logistics Co., Ltd. Shenzhen Branch",GF,RUBBER MAGNETS类,40.0,4.53,9.0,1.02,13.0,1.47,7.0,0.79
